"Mã sản phẩm","Phương pháp bổ sung","Item Group","Tên sản phẩm","Mã đặc tính","Tên đặc tính","Công suất","Màu ánh sáng","Chip LED","Nguồn","Kiểu nguồn"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3B3HD","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, HKLED Dim 5 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","HKLED Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6B3DN","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, Done Nhỏ","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","Done Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5B3DN","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Bridgelux 3030, Done Nhỏ","50","Trắng (5.000K)","Bridgelux 3030","Done Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4B3DN","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, Done Nhỏ","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","Done Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3B3DN","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, Done Nhỏ","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","Done Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6B3DT","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, Done Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","Done Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5B3DT","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Bridgelux 3030, Done Dim 1 Cấp","50","Trắng (5.000K)","Bridgelux 3030","Done Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4B3DT","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, Done Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","Done Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3B3DT","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, Done Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","Done Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6B3PT","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, Philips Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","Philips Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5B3PT","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Bridgelux 3030, Philips Dim 1 Cấp","50","Trắng (5.000K)","Bridgelux 3030","Philips Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4B3PT","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, Philips Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","Philips Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3B3PT","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, Philips Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","Philips Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6B3PD","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, Philips Dim 10 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","Philips Dim 10 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5B3PD","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Bridgelux 3030, Philips Dim 10 Cấp","50","Trắng (5.000K)","Bridgelux 3030","Philips Dim 10 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4B3PD","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, Philips Dim 10 Cấp","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","Philips Dim 10 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3B3PD","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, Philips Dim 10 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","Philips Dim 10 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6B3MT","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, Meanwell Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","Meanwell Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5B3MT","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Bridgelux 3030, Meanwell Dim 1 Cấp","50","Trắng (5.000K)","Bridgelux 3030","Meanwell Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4B3MT","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, Meanwell Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","Meanwell Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3B3MT","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, Meanwell Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","Meanwell Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6B3ID","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, Inventronics Dim 5 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","Inventronics Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5B3ID","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Bridgelux 3030, Inventronics Dim 5 Cấp","50","Trắng (5.000K)","Bridgelux 3030","Inventronics Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4B3ID","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, Inventronics Dim 5 Cấp","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","Inventronics Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3B3ID","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, Inventronics Dim 5 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","Inventronics Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6B3SL","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, Năng lượng mặt trời","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","Năng lượng mặt trời","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5B3SL","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Bridgelux 3030, Năng lượng mặt trời","50","Trắng (5.000K)","Bridgelux 3030","Năng lượng mặt trời","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4B3SL","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, Năng lượng mặt trời","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","Năng lượng mặt trời","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3B3SL","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, Năng lượng mặt trời","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","Năng lượng mặt trời","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6P3HN","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Lumileds 3030, HKLED Nhỏ","50","Trắng (6.000K - 6.500K)","Lumileds 3030","HKLED Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5P3HN","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Lumileds 3030, HKLED Nhỏ","50","Trắng (5.000K)","Lumileds 3030","HKLED Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4P3HN","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, HKLED Nhỏ","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","HKLED Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3P3HN","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Lumileds 3030, HKLED Nhỏ","50","Vàng (3.000K - 3.200K)","Lumileds 3030","HKLED Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6P3HT","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Lumileds 3030, HKLED Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Lumileds 3030","HKLED Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5P3HT","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Lumileds 3030, HKLED Dim 1 Cấp","50","Trắng (5.000K)","Lumileds 3030","HKLED Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4P3HT","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, HKLED Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","HKLED Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3P3HT","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Lumileds 3030, HKLED Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Lumileds 3030","HKLED Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6P3HD","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Lumileds 3030, HKLED Dim 5 Cấp","50","Trắng (6.000K - 6.500K)","Lumileds 3030","HKLED Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5P3HD","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Lumileds 3030, HKLED Dim 5 Cấp","50","Trắng (5.000K)","Lumileds 3030","HKLED Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4P3HD","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, HKLED Dim 5 Cấp","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","HKLED Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3P3HD","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Lumileds 3030, HKLED Dim 5 Cấp","50","Vàng (3.000K - 3.200K)","Lumileds 3030","HKLED Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6P3DN","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Lumileds 3030, Done Nhỏ","50","Trắng (6.000K - 6.500K)","Lumileds 3030","Done Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5P3DN","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Lumileds 3030, Done Nhỏ","50","Trắng (5.000K)","Lumileds 3030","Done Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4P3DN","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, Done Nhỏ","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","Done Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3P3DN","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Lumileds 3030, Done Nhỏ","50","Vàng (3.000K - 3.200K)","Lumileds 3030","Done Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6P3DT","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Lumileds 3030, Done Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Lumileds 3030","Done Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5P3DT","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Lumileds 3030, Done Dim 1 Cấp","50","Trắng (5.000K)","Lumileds 3030","Done Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4P3DT","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, Done Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","Done Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3P3DT","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Lumileds 3030, Done Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Lumileds 3030","Done Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6P3PT","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Lumileds 3030, Philips Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Lumileds 3030","Philips Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5P3PT","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Lumileds 3030, Philips Dim 1 Cấp","50","Trắng (5.000K)","Lumileds 3030","Philips Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4P3PT","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, Philips Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","Philips Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3P3PT","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Lumileds 3030, Philips Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Lumileds 3030","Philips Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6P3PD","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Lumileds 3030, Philips Dim 10 Cấp","50","Trắng (6.000K - 6.500K)","Lumileds 3030","Philips Dim 10 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5P3PD","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Lumileds 3030, Philips Dim 10 Cấp","50","Trắng (5.000K)","Lumileds 3030","Philips Dim 10 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4P3PD","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, Philips Dim 10 Cấp","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","Philips Dim 10 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3P3PD","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Lumileds 3030, Philips Dim 10 Cấp","50","Vàng (3.000K - 3.200K)","Lumileds 3030","Philips Dim 10 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6P3MT","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Lumileds 3030, Meanwell Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Lumileds 3030","Meanwell Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5P3MT","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Lumileds 3030, Meanwell Dim 1 Cấp","50","Trắng (5.000K)","Lumileds 3030","Meanwell Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4P3MT","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, Meanwell Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","Meanwell Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3P3MT","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Lumileds 3030, Meanwell Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Lumileds 3030","Meanwell Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6P3ID","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Lumileds 3030, Inventronics Dim 5 Cấp","50","Trắng (6.000K - 6.500K)","Lumileds 3030","Inventronics Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5P3ID","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Lumileds 3030, Inventronics Dim 5 Cấp","50","Trắng (5.000K)","Lumileds 3030","Inventronics Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4P3ID","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, Inventronics Dim 5 Cấp","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","Inventronics Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3P3ID","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Lumileds 3030, Inventronics Dim 5 Cấp","50","Vàng (3.000K - 3.200K)","Lumileds 3030","Inventronics Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6P3SL","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Lumileds 3030, Năng lượng mặt trời","50","Trắng (6.000K - 6.500K)","Lumileds 3030","Năng lượng mặt trời","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5P3SL","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Lumileds 3030, Năng lượng mặt trời","50","Trắng (5.000K)","Lumileds 3030","Năng lượng mặt trời","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4P3SL","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, Năng lượng mặt trời","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","Năng lượng mặt trời","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3P3SL","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Lumileds 3030, Năng lượng mặt trời","50","Vàng (3.000K - 3.200K)","Lumileds 3030","Năng lượng mặt trời","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6B5HN","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Bridgelux 5050, HKLED Nhỏ","50","Trắng (6.000K - 6.500K)","Bridgelux 5050","HKLED Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5B5HN","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Bridgelux 5050, HKLED Nhỏ","50","Trắng (5.000K)","Bridgelux 5050","HKLED Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4B5HN","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Bridgelux 5050, HKLED Nhỏ","50","Trung tính (4.000K - 4.200K)","Bridgelux 5050","HKLED Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3B5HN","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Bridgelux 5050, HKLED Nhỏ","50","Vàng (3.000K - 3.200K)","Bridgelux 5050","HKLED Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6B5HT","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Bridgelux 5050, HKLED Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 5050","HKLED Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5B5HT","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Bridgelux 5050, HKLED Dim 1 Cấp","50","Trắng (5.000K)","Bridgelux 5050","HKLED Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4B5HT","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Bridgelux 5050, HKLED Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Bridgelux 5050","HKLED Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3B5HT","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Bridgelux 5050, HKLED Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 5050","HKLED Dim 1 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6B5HD","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Bridgelux 5050, HKLED Dim 5 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 5050","HKLED Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5B5HD","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Bridgelux 5050, HKLED Dim 5 Cấp","50","Trắng (5.000K)","Bridgelux 5050","HKLED Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-4B5HD","Đèn LED đường phố D15 SMD 50W | Trung tính (4.000K - 4.200K), Bridgelux 5050, HKLED Dim 5 Cấp","50","Trung tính (4.000K - 4.200K)","Bridgelux 5050","HKLED Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-3B5HD","Đèn LED đường phố D15 SMD 50W | Vàng (3.000K - 3.200K), Bridgelux 5050, HKLED Dim 5 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 5050","HKLED Dim 5 Cấp","Nguồn to"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-6B5DN","Đèn LED đường phố D15 SMD 50W | Trắng (6.000K - 6.500K), Bridgelux 5050, Done Nhỏ","50","Trắng (6.000K - 6.500K)","Bridgelux 5050","Done Nhỏ","Nguồn nhỏ"
"DD15S","Sản xuất","Đèn LED đường phố D15 SMD","Đèn LED đường phố D15 SMD","DD15S050-5B5DN","Đèn LED đường phố D15 SMD 50W | Trắng (5.000K), Bridgelux 5050, Done Nhỏ","50","Trắng (5.000K)","Bridgelux 5050","Done Nhỏ","Nguồn nhỏ"
